customer_id,product_views,clicks,cart_additions,discount,review_views,group,purchase,purchase_amount
112,23,4,1,0,6,B,False,0.0
113,17,7,0,15,9,A,False,0.0
114,14,3,1,15,9,B,False,0.0
115,15,6,0,0,7,A,False,0.0
116,17,6,2,0,2,B,True,3588.9235546339764
117,2,2,4,15,9,B,True,2556.542917199069
118,5,2,2,10,5,A,False,0.0
119,8,0,3,0,5,B,False,0.0
120,4,1,2,20,7,B,True,2398.2483459966165
121,13,4,0,5,7,B,True,1596.9349816456047
122,20,4,0,0,9,A,False,0.0
123,19,1,1,20,5,A,False,0.0
124,14,4,1,0,6,B,True,1641.9959969703104
125,25,6,4,10,7,B,True,5142.437670260249
126,17,2,4,20,2,B,False,0.0
127,3,3,4,10,3,B,True,3583.529364697872
128,23,3,3,10,6,A,True,3913.1625418001195
129,17,5,2,5,0,B,True,3789.2240252498673
130,19,3,3,0,3,A,False,0.0
131,17,7,2,10,7,B,False,0.0
132,17,3,3,20,9,B,False,0.0
133,3,4,3,0,5,B,False,0.0
134,17,3,3,20,3,B,False,0.0
135,24,1,3,10,4,A,False,0.0
136,9,6,0,10,6,A,False,0.0
137,18,2,3,0,5,A,False,0.0
138,1,2,1,15,0,B,False,0.0
139,11,7,3,0,5,A,True,4339.381975173721
140,13,9,2,5,4,B,False,0.0
141,29,6,4,15,7,A,False,0.0
142,7,9,1,0,8,A,True,3345.4113851833195
143,9,8,4,10,9,A,True,4217.736684887594
144,12,4,4,10,6,A,True,3355.927976564627
145,29,7,1,0,3,A,True,5141.746428007276
146,25,3,2,5,4,A,False,0.0
147,2,4,2,5,1,B,True,1502.7570522519393
148,7,5,3,15,9,B,False,0.0
149,24,9,3,20,8,B,False,0.0
150,2,8,4,20,8,A,False,0.0
151,25,4,1,0,3,B,False,0.0
152,9,6,2,0,3,B,True,3820.4409301564833
153,27,2,2,0,8,B,True,3436.3564268080945
154,9,8,4,10,5,A,True,4220.923321122583
155,13,5,1,0,7,B,False,0.0
156,20,5,2,5,4,B,False,0.0
157,4,7,0,20,4,A,True,2518.171517170366
158,17,6,4,20,6,A,False,0.0
159,15,0,1,20,8,B,False,0.0
160,23,2,1,5,3,A,True,3484.6919694692047
161,29,1,2,15,8,A,True,4140.395370342459
162,20,7,2,15,2,B,False,0.0
163,12,0,4,0,4,A,False,0.0
164,12,2,2,10,9,A,True,3067.5490679095183
165,13,5,2,10,9,A,False,0.0
166,24,6,0,5,9,B,False,0.0
167,10,5,0,15,3,A,False,0.0
168,5,8,1,15,8,B,True,2495.43700752948
169,10,9,4,10,9,A,True,4883.835629031355
170,1,1,4,15,9,B,False,0.0
171,4,9,3,15,0,B,True,4066.590789906599
172,3,6,3,10,7,B,False,0.0
173,23,6,1,5,9,B,False,0.0
174,21,0,0,15,7,A,True,2691.1445095626796
175,21,6,0,15,2,B,False,0.0
176,14,7,1,20,7,B,False,0.0
177,21,5,1,0,1,B,False,0.0
178,5,0,0,10,4,B,False,0.0
179,27,5,1,20,6,B,False,0.0
180,15,9,0,10,4,A,False,0.0
181,28,7,3,20,6,A,False,0.0
182,5,1,4,0,2,A,False,0.0
183,15,9,3,0,6,A,False,0.0
184,21,9,2,15,6,B,True,4989.547417011787
185,15,1,2,5,6,B,True,3579.5574246673677
186,13,8,1,10,2,A,True,3392.517344703664
187,5,4,0,10,3,A,False,0.0
188,12,5,2,10,2,B,False,0.0
189,7,4,2,20,4,B,False,0.0
190,9,7,0,0,5,B,False,0.0
191,20,9,2,15,3,B,False,0.0
192,19,7,1,20,4,B,False,0.0
193,18,9,0,15,2,B,True,4058.284677928394
194,11,9,3,5,2,A,False,0.0
195,28,0,2,0,6,B,False,0.0
196,3,2,3,15,8,A,False,0.0
197,10,7,3,10,2,A,True,4415.746203970467
198,4,5,4,0,8,A,False,0.0
199,10,0,4,5,5,A,False,0.0
200,28,0,3,20,1,A,False,0.0
201,11,5,4,5,3,B,False,0.0
202,27,6,2,0,0,B,False,0.0
203,15,1,4,15,0,A,True,3745.273135451336
204,21,1,3,0,3,B,False,0.0
205,14,1,3,20,4,A,False,0.0
206,8,5,4,20,7,A,False,0.0
207,23,0,2,20,1,B,True,3268.023237638999
208,29,5,3,20,8,A,True,6120.579174326015
209,8,4,1,5,2,B,False,0.0
210,23,4,4,5,1,B,True,5342.496687839437
211,8,6,3,5,6,A,False,0.0
212,21,5,3,10,7,A,True,6036.324624119362
213,23,7,2,20,6,B,False,0.0
214,14,7,4,15,1,B,False,0.0
215,22,9,0,15,1,B,True,3601.9124579127383
216,8,7,0,20,3,A,False,0.0
217,3,5,2,15,4,A,True,2251.208376198144
218,3,4,3,5,9,B,False,0.0
219,13,2,4,10,2,B,False,0.0
220,27,5,2,10,1,A,False,0.0
221,4,1,3,0,9,B,True,2495.8491607143073
222,14,9,2,15,1,B,True,4510.514332381827
223,21,8,4,15,0,A,False,0.0
224,6,1,3,15,4,A,False,0.0
225,21,7,2,10,4,B,False,0.0
226,9,1,4,15,6,B,True,4730.571701316834
227,24,7,0,20,8,A,True,3987.2155582410487
228,17,0,4,10,9,A,False,0.0
229,16,4,0,10,2,B,True,2078.812127116891
230,6,6,1,0,9,A,False,0.0
231,14,7,4,15,6,B,False,0.0
232,25,4,3,20,0,B,True,4939.097387973333
233,1,9,4,15,9,B,False,0.0
234,22,7,3,20,1,A,True,6215.463056200257
235,15,2,3,20,5,A,False,0.0
236,21,6,1,15,7,A,False,0.0
237,20,7,0,10,2,B,False,0.0
238,13,3,0,0,2,A,False,0.0
239,9,7,1,0,4,A,False,0.0
240,19,8,0,5,8,A,False,0.0
241,5,8,2,10,2,A,True,2371.8442164427715
242,17,7,3,15,6,A,True,4619.846488575233
243,3,6,4,10,4,B,True,3847.0360414367524
244,19,2,2,0,1,B,False,0.0
245,19,7,4,5,7,A,False,0.0
246,3,3,4,20,8,A,False,0.0
247,22,5,4,20,5,A,False,0.0
248,13,3,2,5,1,B,False,0.0
249,23,3,1,20,1,A,False,0.0
250,2,1,4,15,4,B,True,3650.4281024754355
251,6,9,1,20,5,A,False,0.0
252,15,1,2,20,5,A,True,3021.9219019423213
253,6,0,0,15,2,B,False,0.0
254,10,9,3,5,5,B,False,0.0
255,20,5,3,15,2,B,True,4432.899783370557
256,5,4,0,5,6,B,False,0.0
257,20,7,1,5,7,B,True,4239.792670577986
258,3,3,2,15,6,B,False,0.0
259,6,1,2,10,0,A,False,0.0
260,18,7,4,10,9,A,False,0.0
261,24,1,1,5,0,A,False,0.0
262,5,5,4,10,9,A,True,3855.63884830933
263,9,9,2,0,0,A,True,3520.963215733746
264,27,9,4,15,5,A,True,5985.3685401949315
265,29,3,1,10,1,A,True,3227.218998384464
266,17,7,0,20,0,B,True,3356.339723014502
267,13,6,0,10,6,A,False,0.0
268,11,4,1,10,7,B,True,2722.9967403738124
269,18,1,4,0,1,A,True,3692.9782291505735
270,18,3,0,0,9,B,False,0.0
271,9,6,1,5,3,B,False,0.0
272,1,9,0,5,3,A,False,0.0
273,5,0,4,5,2,A,False,0.0
274,28,7,3,5,4,B,False,0.0
275,13,8,3,15,1,B,False,0.0
276,14,9,3,0,4,A,True,4712.540883532065
277,14,4,3,5,2,B,False,0.0
278,23,1,3,0,0,B,False,0.0
279,2,2,0,5,3,A,False,0.0
280,3,8,4,15,6,A,True,3778.260110033348
281,8,8,3,0,7,A,True,3318.0279642656787
282,15,6,3,5,3,B,False,0.0
283,20,1,1,0,3,B,False,0.0
284,15,1,4,20,7,B,True,3798.746746778354
285,13,4,1,15,6,B,True,2787.51339064345
286,28,5,0,5,8,A,False,0.0
287,5,0,4,0,9,A,True,2497.0031955841014
288,17,6,1,0,8,A,False,0.0
289,16,5,0,10,9,A,False,0.0
290,14,0,3,15,4,B,True,3666.1484559690184
291,24,0,1,10,3,B,False,0.0
292,8,4,4,20,3,A,True,3348.916491936541
293,28,7,2,5,2,B,True,4517.688321780718
294,10,8,0,5,7,B,False,0.0
295,16,4,4,10,7,A,False,0.0
296,16,2,2,5,8,B,True,2661.7090125651716
297,25,9,1,20,1,B,False,0.0
298,13,4,3,0,4,B,True,3977.572329947449
299,9,3,2,10,2,B,False,0.0
300,1,4,0,10,8,A,False,0.0
301,11,0,3,0,2,B,False,0.0
302,24,3,2,10,1,A,False,0.0
303,1,5,3,10,5,B,True,3153.341574805372
304,26,9,4,5,8,A,False,0.0
305,16,7,3,0,9,A,False,0.0
306,5,7,3,0,0,B,False,0.0
307,9,5,1,0,3,A,True,2077.6103764220043
308,17,1,1,10,1,A,False,0.0
309,10,3,2,0,3,B,False,0.0
310,4,9,4,20,5,A,True,4808.805364878385
311,20,0,2,5,2,B,True,3594.6832778348526
312,20,8,1,15,0,A,False,0.0
313,4,6,3,15,5,A,False,0.0
314,9,2,4,10,0,B,True,2796.83149443976
315,8,7,4,20,2,A,False,0.0
316,20,8,1,0,0,A,False,0.0
317,22,0,3,5,0,B,False,0.0
318,22,1,2,5,4,B,False,0.0
319,28,6,2,0,8,A,False,0.0
320,23,9,1,5,7,B,False,0.0
321,10,0,0,5,0,B,False,0.0
322,4,6,1,15,0,B,False,0.0
323,18,1,2,5,3,A,False,0.0
324,27,6,4,20,6,B,True,5686.731103485811
325,29,6,4,15,7,B,False,0.0
326,7,0,0,20,8,B,True,2077.623694155136
327,7,6,3,0,3,A,False,0.0
328,2,8,0,20,1,B,False,0.0
329,5,8,3,15,0,B,False,0.0
330,17,0,1,20,1,A,False,0.0
331,16,2,2,5,0,B,False,0.0
332,11,2,3,20,8,B,False,0.0
333,9,4,2,10,2,A,False,0.0
334,25,1,4,0,8,B,True,5135.503167979594
335,14,8,2,10,5,A,True,3229.8303410772323
336,24,7,4,0,5,B,True,5693.330757639452
337,28,8,3,20,4,B,True,6410.740384051609
338,10,1,1,5,8,B,False,0.0
339,6,0,3,5,0,A,False,0.0
340,28,9,2,10,0,B,False,0.0
341,19,2,2,10,4,A,True,3983.8711997756027
342,9,6,0,0,3,B,False,0.0
343,19,9,0,20,5,B,True,3394.9991318757443
344,15,0,2,20,7,A,False,0.0
345,27,0,0,15,5,A,False,0.0
346,8,0,4,15,2,A,False,0.0
347,29,1,4,10,3,B,True,4724.989625118198
348,28,0,3,10,7,A,False,0.0
349,6,8,3,10,2,A,True,3662.650263138433
350,5,6,2,0,5,A,False,0.0
351,16,9,0,0,5,A,True,2883.3890772470445
352,2,8,1,5,7,A,False,0.0
353,9,9,2,10,7,A,True,3776.6879063579313
354,13,2,4,0,4,A,False,0.0
355,29,2,1,0,3,B,False,0.0
356,29,8,2,20,3,A,False,0.0
357,5,2,1,5,4,B,False,0.0
358,26,0,0,10,2,B,False,0.0
359,3,6,0,10,6,B,True,1867.9696750662004
360,22,8,1,15,2,A,True,4508.060354044393
361,25,9,0,15,6,A,False,0.0
362,26,9,0,5,7,B,False,0.0
363,7,1,1,20,9,B,False,0.0
364,26,7,1,5,1,B,False,0.0
365,4,8,2,20,7,A,False,0.0
366,16,6,0,10,0,A,False,0.0
367,14,8,1,0,3,A,False,0.0
368,10,8,2,15,1,A,True,4370.12664047214
369,1,4,4,0,1,B,False,0.0
370,23,0,3,15,1,A,False,0.0
371,10,4,4,0,0,A,True,4158.351409324233
372,20,2,1,5,8,B,False,0.0
373,12,1,2,15,0,B,False,0.0
374,11,1,2,20,3,A,False,0.0
375,26,6,4,10,6,A,False,0.0
376,3,5,4,0,9,B,False,0.0
377,22,5,4,5,8,B,True,4333.746263349973
378,22,7,3,20,1,B,True,5340.377192070584
379,12,5,2,15,9,B,False,0.0
380,8,6,2,0,6,B,False,0.0
381,1,0,4,5,1,A,False,0.0
382,28,8,1,5,4,A,False,0.0
383,28,4,1,0,9,B,False,0.0
384,7,1,4,20,3,A,False,0.0
385,1,8,1,15,1,A,True,3001.968445776678
386,4,7,1,0,8,A,True,3109.7310719260963
387,2,0,2,15,9,B,True,1864.9641635496275
388,25,1,1,10,9,A,True,2322.6193461623534
389,26,0,4,0,9,A,False,0.0
390,5,2,4,10,8,A,True,3805.867854998251
391,22,0,1,0,4,A,False,0.0
392,6,7,2,5,1,B,False,0.0
393,11,5,4,20,6,A,True,4184.115128498844
394,18,9,3,15,2,B,True,5841.014625921565
395,21,7,1,0,4,A,False,0.0
396,26,6,2,20,6,B,True,5205.770310321979
397,2,5,3,10,9,B,False,0.0
398,6,0,3,20,2,B,True,2861.3753737239367
399,9,0,0,15,2,B,True,1618.7781412637519
400,9,6,1,5,7,A,True,2127.4077097338413
401,29,0,4,10,0,B,False,0.0
402,23,0,1,10,5,B,True,3115.040565172512
403,10,2,1,15,7,B,False,0.0
404,29,8,1,5,5,B,True,5224.632284212688
405,15,4,0,5,3,B,False,0.0
406,15,7,0,5,8,B,False,0.0
407,13,4,1,5,3,B,False,0.0
408,5,1,4,0,7,B,True,2873.8674825251155
409,28,3,0,0,4,A,False,0.0
410,1,0,1,20,0,A,False,0.0
411,6,7,0,0,5,A,True,2770.049601856958
412,7,1,2,20,0,A,True,3169.69858099919
413,9,3,1,0,9,A,False,0.0
414,4,9,3,15,6,A,True,3528.4001844224376
415,1,5,2,5,3,A,True,2824.4539416916195
416,20,4,3,10,4,A,True,3849.66936788282
417,29,5,3,5,6,B,False,0.0
418,4,7,2,10,2,B,False,0.0
419,9,2,4,10,2,B,False,0.0
420,15,6,2,10,4,A,False,0.0
421,27,8,4,5,2,A,True,4740.375180713692
422,21,5,4,10,7,B,True,5382.2223238312345
423,23,4,2,20,1,A,False,0.0
424,17,1,3,10,8,B,True,3731.315512218873
425,13,2,1,5,3,A,False,0.0
426,6,9,4,0,5,A,True,4193.148002091116
427,26,5,3,5,1,B,True,5325.170290892352
428,24,3,4,0,3,A,False,0.0
429,1,4,1,0,7,A,True,1421.49288752282
430,21,5,3,20,2,B,True,5172.018956558691
431,3,5,2,0,1,A,False,0.0
432,22,6,0,10,5,B,False,0.0
433,24,2,0,20,1,A,False,0.0
434,4,6,2,20,3,A,False,0.0
435,13,4,1,0,4,B,False,0.0
436,4,9,0,0,5,A,True,1189.5772007652338
437,17,1,2,5,6,B,False,0.0
438,27,1,3,10,6,B,False,0.0
439,3,4,1,20,8,B,True,2394.3996384240827
440,12,5,4,5,0,A,True,3866.26808762892
441,29,6,3,0,3,B,True,4640.080357116517
442,9,4,2,5,0,B,False,0.0
443,4,9,4,20,0,B,True,4478.35122178637
444,15,4,2,0,2,A,True,2977.8958748067757
445,15,1,0,5,5,B,False,0.0
446,20,1,0,0,8,A,False,0.0
447,10,9,4,0,7,B,True,5140.095435835911
448,28,1,4,20,6,A,False,0.0
449,16,9,3,0,7,B,True,4281.221396701846
450,9,2,0,5,1,B,False,0.0
451,28,0,1,20,8,A,False,0.0
452,27,3,0,15,8,B,True,3555.366588933411
453,15,6,0,0,0,B,False,0.0
454,1,4,1,10,4,A,False,0.0
455,18,7,2,20,8,A,False,0.0
456,17,6,0,10,4,B,False,0.0
457,5,4,4,10,8,A,True,4487.838796085331
458,19,6,2,10,9,A,True,3268.610694053345
459,25,9,1,15,4,B,False,0.0
460,4,4,2,0,0,A,False,0.0
461,21,1,3,20,3,B,False,0.0
462,5,4,1,20,2,A,False,0.0
463,22,8,0,0,4,B,False,0.0
464,13,2,0,20,5,A,True,2548.1176982766565
465,1,9,4,20,4,B,False,0.0
466,29,5,0,15,1,B,True,2939.403157747222
467,5,6,3,5,3,A,False,0.0
468,18,3,1,10,6,A,False,0.0
469,6,9,3,20,0,B,True,4012.13495591663
470,28,0,0,0,2,B,False,0.0
471,22,2,4,20,8,B,True,5526.894636282006
472,24,4,3,20,0,A,False,0.0
473,13,4,2,15,4,B,False,0.0
474,14,4,1,5,2,B,False,0.0
475,19,1,4,10,1,A,True,5281.027610671421
476,23,2,1,0,4,A,False,0.0
477,25,0,2,20,5,A,False,0.0
478,1,5,1,5,1,B,False,0.0
479,20,3,1,0,0,A,False,0.0
480,4,5,2,15,1,A,True,2748.690476299863
481,9,5,0,15,6,B,False,0.0
482,25,7,0,15,8,A,False,0.0
483,8,5,1,0,1,B,False,0.0
484,24,6,0,15,3,B,True,4117.769664081341
485,14,5,2,15,3,B,False,0.0
486,7,6,4,15,3,B,False,0.0
487,10,6,0,20,2,B,True,2885.5870331455235
488,16,3,0,5,0,B,False,0.0
489,23,2,0,5,5,B,False,0.0
490,18,7,2,20,3,A,True,4799.671548529874
491,28,3,1,10,3,A,True,5191.813149375205
492,26,5,2,10,2,B,False,0.0
493,22,1,0,5,9,A,False,0.0
494,18,4,1,15,6,B,True,3724.482935786873
495,9,5,2,15,4,B,False,0.0
496,12,6,2,0,2,B,False,0.0
497,4,5,2,10,8,A,True,2568.4186615349754
498,11,3,3,20,8,A,True,4000.5654191090202
499,27,9,2,5,0,A,False,0.0
500,13,5,4,5,9,B,True,4184.7330059924925
